QBarcode,ColdC,ColdCSv,CookC,CookCSv,MilkC,MilkCSv,Pncak,PncakSv,Muffn,MuffnSv,WhtBrd,WhtBrdSv,ButBrd,ButBrdSv,Jam,JamSv,Gbar,GbarSv,Sbar,SbarSv,LFChip,LFChipSv,RChip,RChipSv,LFCrk,LFCrkSv,RCrk,RCrkSv,Pbutt,PbuttSv,Eggs,EggsSv,Bacon,BaconSv,LFDog,LFDogSv,RDog,RDogSv,LFLnch,LFLnchSv,RLnch,RLnchSv,Beef,BeefSv,Tuna,TunaSv,GrndMt,GrndMtSv,Liver,LiverSv,FryCkn,FryCknSv,RstCkn,RstCknSv,FryFsh,FryFshSv,ShlFsh,ShlFshSv,WhtFsh,WhtFshSv,DrkFsh,DrkFshSv,Gravy,GravySv,Ktchup,KtchupSv,Salsa,SalsaSv,Mayo,MayoSv,Stew,StewSv,Chili,ChiliSv,Asian,AsianSv,SpMt,SpMtSv,SpTom,SpTomSv,SpOil,SpOilSv,Tofu,TofuSv,Pizza,PizzaSv,Taco,TacoSv,BrthSp,BrthSpSv,CrmSp,CrmSpSv,BeanSp,BeanSpSv,Miso,MisoSv,Ramen,RamenSv,Cottag,CottagSv,LFChs,LFChsSv,OthChs,OthChsSv,Yogurt,YogurtSv,Salad,SaladSv,Dress,DressSv,Tomato,TomatoSv,Carrot,CarrotSv,Pepper,PepperSv,Brocc,BroccSv,Califl,CaliflSv,Grnbn,GrnbnSv,Peas,PeasSv,Slaw,SlawSv,SumSq,SumSqSv,WntrSq,WntrSqSv,Greens,GreensSv,Onion,OnionSv,Garlic,GarlicSv,Avcdo,AvcdoSv,PotFry,PotFrySv,PotBol,PotBolSv,Beans,BeansSv,Corn,CornSv,MayoSl,MayoSlSv,Grains,GrainsSv,AddFat,AddFatSv,Apple,AppleSv,Banana,BananaSv,Peach,PeachSv,Aprct,AprctSv,DryFrt,DryFrtSv,Orang,OrangSv,Berry,BerrySv,Melon,MelonSv,FrtOth,FrtOthSv,IceCrm,IceCrmSv,LFFrzn,LFFrznSv,Pudng,PudngSv,Donut,DonutSv,CkCak,CkCakSv,Choc,ChocSv
1807,4,2,4,1,4,2,2,1,3,1,7,1,6,1,2,1,0,2,0,2,4,1,3,1,3,1,1,1,2,1,6,2,3,2,3,3,3,2,6,2,1,2,5,2,1,2,3,2,0,2,0,2,5,2,1,2,1,2,2,2,0,2,5,2,6,2,1,1,6,1,3,1,3,2,0,2,4,2,2,2,0,2,0,2,3,2,0,2,5,2,0,2,3,2,0,2,3,2,1,1,1,2,1,2,0,2,6,2,6,2,6,1,5,2,6,2,4,2,4,2,5,2,4,2,3,2,3,2,3,2,2,2,6,1,0,2,99,2,1,1,6,1,4,2,4,2,2,2,0,2,2,2,7,2,6,2,4,1,0,2,1,1,5,1,5,2,6,1,5,1,1,2,1,2,1,2,1,2,4,3,3,2
1810,8,2,8,2,8,2,8,2,8,2,6,2,6,2,2,1,0,2,0,2,2,2,2,2,2,2,2,2,2,2,7,2,5,2,99,2,99,2,6,2,6,2,1,2,1,2,3,2,0,2,99,2,0,2,99,2,1,2,0,2,0,2,99,2,3,1,99,2,2,1,1,1,1,1,0,2,5,2,5,2,5,2,0,2,3,2,0,2,4,2,0,2,1,2,99,2,1,2,1,1,1,1,3,1,0,2,6,2,6,2,6,2,6,2,6,1,6,1,99,2,2,2,3,1,0,2,2,1,2,1,2,1,1,1,99,1,99,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,5,2,5,2,1,1,1,1,1,1,1,1,2,2,3,2,5,2,5,2,5,2,5,2,5,2,5,2
1816,7,2,5,2,7,2,3,2,1,2,6,2,1,2,3,2,5,1,0,2,1,2,1,3,3,3,2,2,7,1,4,2,3,2,4,2,0,2,4,1,0,2,3,2,4,2,3,2,0,2,1,2,4,2,3,2,0,2,3,2,2,2,4,2,4,2,0,2,4,2,0,2,3,3,0,2,3,3,0,2,0,2,0,2,2,2,3,2,3,2,3,2,2,2,0,2,0,2,3,2,3,2,0,2,3,2,6,2,4,2,6,2,3,2,3,2,3,2,3,2,3,2,4,2,5,2,0,2,3,2,4,2,3,2,2,2,99,2,2,2,4,2,4,2,3,2,4,2,2,2,2,2,7,2,6,2,2,2,0,2,1,2,2,2,3,2,1,2,2,2,3,2,3,2,4,2,2,2,4,2,4,2
1819,3,1,3,1,3,1,2,1,1,1,5,2,5,2,5,1,0,2,0,2,0,2,1,1,1,1,1,1,2,1,3,1,3,1,2,1,2,1,3,1,2,1,2,1,2,1,3,1,0,2,2,2,0,2,2,1,0,2,0,2,0,2,3,1,3,1,1,2,3,1,1,1,1,1,0,2,1,1,1,1,1,1,0,2,3,1,0,2,2,1,1,1,0,2,0,2,0,2,0,2,0,2,3,1,3,1,6,2,6,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,99,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,2,1,1,1,1,1,1
1820,7,2,3,2,8,2,3,2,5,2,99,2,0,2,5,1,8,2,0,2,4,2,4,2,4,2,4,2,3,2,3,2,4,2,0,2,0,2,3,2,0,2,4,2,1,2,3,2,4,2,6,2,4,2,6,2,3,2,4,2,3,2,2,1,1,1,0,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,4,2,1,2,1,1,0,2,0,2,1,1,0,2,0,2,7,2,6,2,6,1,6,2,6,2,5,1,5,2,6,2,6,2,6,2,3,1,5,1,99,2,5,1,4,1,2,1,4,1,1,1,6,2,1,1,5,2,1,1,4,2,1,1,4,2,8,2,3,2,1,1,1,2,3,2,2,1,2,2,4,2,4,2,4,2,1,1,2,1,2,2,0,2
1821,1,1,3,2,0,2,3,2,2,1,2,1,1,1,3,1,0,2,0,2,3,2,3,2,3,1,1,1,4,1,3,1,3,1,3,1,3,1,4,1,5,1,5,2,3,1,4,2,3,1,4,2,3,2,3,2,2,2,0,2,0,2,3,1,3,1,1,1,0,2,1,2,2,3,3,3,3,3,1,1,3,2,0,2,3,2,3,2,3,1,0,2,3,3,0,2,3,1,0,2,3,2,3,2,0,2,3,2,3,1,3,1,2,1,2,1,3,2,2,2,3,2,0,2,1,1,1,1,2,1,3,2,3,1,1,1,0,2,3,2,3,1,0,2,3,2,0,2,3,2,8,1,5,1,5,1,5,1,0,2,0,2,3,1,3,2,2,1,3,1,1,1,1,1,0,2,3,1,4,1,5,1
1823,5,3,0,2,5,3,0,2,0,2,7,2,4,1,3,2,2,2,0,2,3,3,2,3,0,2,8,3,6,3,3,2,3,2,0,2,2,3,6,2,0,2,5,2,3,3,3,3,0,2,0,2,0,2,1,2,3,3,3,3,2,2,0,2,1,2,0,2,3,2,1,3,0,2,0,2,3,3,4,3,4,3,0,2,0,2,0,2,0,2,3,3,3,3,0,2,0,2,0,2,6,3,6,3,5,2,5,2,5,3,4,2,4,3,1,3,3,3,2,3,2,3,1,3,1,3,2,3,3,3,3,3,2,3,1,2,99,2,1,3,2,3,1,3,1,3,2,3,3,3,6,2,0,2,8,2,3,2,0,2,0,2,3,2,8,3,4,3,0,2,8,3,3,3,0,2,1,3,9,2,1,2
1824,4,2,1,1,4,2,2,2,2,1,4,1,3,1,1,1,0,2,0,2,2,1,2,1,5,1,6,2,5,1,3,2,2,2,2,2,1,2,4,2,2,2,6,2,3,2,5,2,0,2,0,2,3,1,1,1,1,2,2,1,1,2,1,2,1,1,2,1,5,1,5,2,2,2,0,2,3,1,0,2,2,2,0,2,1,1,1,1,2,1,3,1,1,2,0,2,0,2,3,2,0,2,7,1,2,1,6,2,7,1,6,1,4,2,5,1,4,1,4,1,3,2,3,2,2,1,1,2,2,2,3,2,3,1,4,1,0,2,2,1,6,2,3,2,4,1,2,3,3,1,4,2,2,2,1,1,5,2,2,1,1,1,1,2,6,1,2,1,4,1,3,2,0,2,1,1,2,1,3,2,4,2
1825,1,2,1,2,1,2,1,2,1,2,1,1,3,1,1,1,1,1,0,2,3,2,3,2,99,2,3,2,6,2,5,1,5,2,4,2,1,2,3,2,1,2,6,2,3,2,3,2,1,1,1,2,3,2,3,2,1,2,3,2,0,2,1,1,3,1,6,1,5,2,1,2,1,2,1,2,4,3,1,2,1,3,0,2,4,2,1,3,5,2,1,2,1,2,0,2,1,2,1,2,1,2,6,2,0,2,7,2,7,1,7,1,7,2,7,1,6,2,1,2,5,3,5,2,4,2,1,2,4,2,4,1,7,1,7,3,0,2,3,2,6,2,1,2,3,2,1,1,0,2,7,3,6,2,2,2,7,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2,99,2
1829,2,3,2,2,2,2,3,3,1,2,1,2,0,2,3,2,1,2,0,2,0,2,1,2,2,2,0,2,7,2,6,2,1,2,0,2,0,2,7,1,3,2,5,2,2,2,1,2,1,2,1,2,5,2,3,2,3,2,3,2,3,2,1,1,1,2,2,2,7,2,1,2,1,2,1,2,1,2,1,2,1,2,0,2,1,2,1,3,1,2,1,2,1,2,0,2,0,2,1,2,1,2,6,2,1,2,7,2,7,1,2,2,2,2,3,2,2,2,2,2,3,2,3,2,3,2,3,2,3,2,3,2,2,2,4,2,99,2,0,2,3,2,2,2,3,2,1,2,5,2,1,2,5,2,3,2,6,2,1,2,1,2,3,2,6,2,5,2,5,2,6,3,1,3,3,2,1,2,1,2,3,2
1832,8,2,4,2,1,1,2,1,3,1,99,2,3,1,7,2,3,1,0,2,0,2,2,2,99,2,5,2,9,3,4,1,4,1,3,1,2,1,7,1,0,2,5,1,5,2,3,1,9,1,3,1,4,2,1,2,4,1,4,3,5,2,3,1,4,2,4,1,0,2,0,2,3,1,2,1,1,1,5,2,3,2,2,1,4,1,1,1,4,2,2,2,5,2,0,2,0,2,0,2,4,1,99,1,3,1,7,2,5,1,6,2,5,2,3,2,4,2,4,2,3,2,3,2,4,2,3,2,5,2,4,2,5,2,6,1,99,2,2,1,5,1,4,2,5,2,3,1,5,2,5,2,6,2,6,2,5,2,4,2,5,2,5,2,6,2,6,2,5,2,1,2,3,2,0,2,3,2,2,1,1,1
1834,3,2,1,2,3,2,99,2,3,2,7,2,99,2,1,2,99,2,99,2,0,2,1,1,0,2,1,1,4,2,6,2,99,2,1,2,1,2,5,2,4,2,6,2,3,2,4,2,1,2,1,2,4,2,3,2,2,2,3,2,0,2,99,2,99,2,99,2,99,2,1,2,1,3,99,2,3,3,2,2,1,2,99,2,3,2,1,2,3,3,99,3,1,3,0,2,1,2,1,2,0,2,99,2,0,2,99,2,6,2,4,2,4,2,3,2,4,2,4,2,3,1,3,2,2,2,1,2,1,2,2,2,3,2,6,2,99,2,2,2,6,2,1,2,1,2,2,2,1,2,7,2,99,2,3,2,1,2,0,2,0,2,99,3,99,3,4,2,4,2,1,2,99,2,1,2,1,2,1,2,1,2
1840,0,2,0,2,0,2,7,2,0,2,0,2,7,1,7,1,0,2,0,2,8,2,5,2,0,2,4,2,0,2,5,2,5,2,0,2,0,2,2,1,0,2,0,2,3,2,3,2,0,2,2,2,4,2,4,2,0,2,0,2,0,2,4,1,4,1,0,2,4,1,3,2,3,2,0,2,5,3,0,2,0,2,0,2,4,3,0,2,2,1,0,2,0,2,0,2,0,2,0,2,2,1,0,2,0,2,3,2,3,1,3,1,3,2,0,2,0,2,0,2,0,2,3,1,4,1,0,2,0,2,0,2,0,2,0,2,99,2,6,1,3,2,1,1,2,1,4,2,0,2,5,1,0,2,0,2,0,2,0,2,0,2,6,1,4,1,99,2,4,1,2,2,0,2,0,2,1,1,5,1,0,2
1846,6,2,0,2,6,2,4,1,3,1,6,2,0,2,5,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,3,1,0,2,2,1,1,1,4,1,5,1,2,1,4,1,3,1,0,2,3,1,3,1,3,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,5,2,5,2,4,2,0,2,2,1,0,2,5,2,3,1,3,2,0,2,0,2,1,1,2,1,3,1,3,1,8,2,8,2,4,2,4,1,3,2,1,1,1,2,2,2,4,2,0,2,4,2,0,2,0,2,1,1,4,1,99,2,1,1,4,2,3,2,1,1,0,2,1,2,0,2,7,3,0,2,7,3,8,1,0,2,8,1,8,1,3,1,6,1,4,1,4,1,0,2,4,1,6,1,0,2
1849,0,2,5,2,0,2,4,2,2,2,8,2,0,2,4,2,0,2,0,2,4,3,0,2,0,2,0,2,3,2,4,2,0,2,0,2,3,3,4,2,0,2,5,2,2,2,2,2,0,2,0,2,4,3,0,2,3,2,3,2,3,2,3,2,5,2,4,2,6,2,3,2,3,3,3,2,3,3,3,3,2,3,0,2,0,2,0,2,4,2,3,2,3,3,0,2,0,2,2,2,3,2,3,2,4,2,6,2,6,2,6,2,5,2,6,2,5,2,5,2,6,2,5,2,3,2,3,2,3,2,4,2,6,2,5,2,99,2,0,2,5,2,4,2,0,2,3,2,4,2,0,2,3,2,5,2,4,2,2,2,0,2,3,2,4,2,5,2,5,2,0,2,0,2,0,2,0,2,0,2,0,2
1850,5,2,0,2,2,2,1,2,3,2,5,1,0,2,3,1,0,2,0,2,0,2,1,2,0,2,0,2,1,1,0,2,0,2,0,2,1,2,4,2,4,2,5,2,3,2,1,2,0,2,3,2,5,2,1,2,0,2,0,2,0,2,0,2,3,2,1,2,1,2,2,2,0,2,0,2,4,2,4,2,4,2,0,2,3,2,1,2,5,2,0,2,0,2,0,2,0,2,0,2,3,2,2,2,5,2,5,2,5,2,4,2,3,2,2,2,5,2,1,2,3,2,3,2,2,2,0,2,1,2,0,2,1,2,1,2,99,2,3,2,4,2,5,2,5,2,5,2,5,2,1,2,7,2,6,2,6,2,3,2,3,2,4,2,2,2,5,2,6,2,1,2,1,2,1,2,1,2,2,2,2,2
1856,5,2,2,2,5,2,4,2,2,2,5,2,5,2,4,1,5,2,0,2,2,2,2,2,1,1,0,2,3,1,4,1,4,1,0,2,2,1,4,1,2,1,3,1,2,1,3,1,0,2,1,1,3,1,3,1,2,1,0,2,1,1,3,1,3,1,3,1,3,1,3,2,1,2,3,2,4,2,3,2,1,2,0,2,3,1,3,2,3,2,1,2,1,2,0,2,1,2,0,2,0,2,2,2,0,2,4,2,4,2,4,2,4,2,0,2,0,2,1,2,4,2,4,2,1,2,0,2,1,2,0,2,5,2,5,1,3,2,3,2,4,2,3,2,4,2,3,2,3,2,5,2,4,2,5,2,3,2,0,2,0,2,1,2,1,2,2,2,1,2,3,1,0,2,1,1,3,2,4,2,4,2
1861,8,1,8,1,99,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,2,1,1,2,2,3,3,7,2,2,1,99,2,1,2,1,1,7,2,0,2,1,2,3,1,0,2,0,2,1,2,1,1,1,2,0,2,0,2,0,2,0,2,6,2,2,2,0,2,1,2,1,1,0,2,3,2,99,2,0,2,0,2,2,2,0,2,7,2,0,2,0,2,0,2,0,2,0,2,9,1,3,2,3,1,3,2,3,2,3,2,5,2,1,1,3,1,3,1,3,1,3,1,1,1,0,2,1,1,0,2,3,1,0,2,0,2,0,2,1,1,2,2,2,1,0,2,3,1,0,2,99,2,8,2,6,1,0,2,1,1,99,2,7,2,6,2,3,2,7,2,0,2,0,2,0,2,2,2,3,3
1864,9,2,99,2,9,1,2,2,2,1,8,1,4,1,4,1,3,1,0,2,3,2,3,2,5,2,5,2,6,1,4,2,1,2,1,1,1,2,5,2,0,2,5,2,3,1,3,2,5,1,3,2,6,2,3,1,1,1,3,2,3,2,3,1,3,1,3,1,3,1,1,2,1,2,3,2,4,3,4,2,0,2,0,2,4,3,3,2,5,2,3,2,3,3,0,2,1,1,1,1,6,1,6,2,5,1,4,2,4,2,6,2,5,1,99,2,2,2,2,2,1,1,5,2,2,2,3,2,1,2,99,2,7,1,2,1,99,2,1,2,5,1,3,2,5,2,5,1,5,1,1,1,9,1,9,1,4,1,1,1,1,1,3,1,3,2,5,2,5,2,3,1,3,2,1,1,1,1,7,2,4,1
1866,3,2,1,2,3,2,0,2,1,2,9,2,9,3,9,2,0,2,0,2,6,2,6,2,99,2,4,1,6,2,1,1,1,1,0,2,0,2,5,2,5,2,6,2,1,2,5,2,0,2,3,2,3,2,3,1,0,2,0,2,0,2,4,3,0,2,1,1,6,2,1,2,1,2,2,2,3,2,0,2,1,2,0,2,2,2,0,2,2,2,1,2,1,2,0,2,0,2,1,2,0,2,5,2,0,2,7,2,6,2,1,2,1,1,1,1,0,2,1,1,3,2,1,1,1,2,2,2,3,2,1,1,3,1,1,1,0,2,7,3,7,2,1,2,1,2,1,2,3,2,9,3,1,2,1,2,7,2,0,2,1,2,9,2,9,2,1,1,3,2,2,2,0,2,1,2,1,2,2,2,5,1
1867,1,2,1,2,1,2,99,2,0,2,3,3,5,2,99,2,0,2,0,2,0,2,3,2,99,2,5,3,2,2,3,2,2,2,0,2,1,2,1,2,99,2,3,2,0,2,2,2,2,2,0,2,2,3,99,2,2,3,0,2,3,2,99,2,0,2,3,2,1,2,0,2,1,2,99,2,1,3,0,2,0,2,0,2,1,2,0,2,99,2,99,2,99,2,0,2,1,3,2,2,0,2,6,3,7,2,2,2,2,2,6,2,6,3,6,2,3,3,3,3,1,2,99,2,99,2,99,2,1,2,99,2,5,3,6,2,1,2,99,2,3,2,0,2,99,2,0,2,2,2,3,3,7,2,7,2,7,2,0,2,5,2,1,2,3,2,2,2,0,2,3,2,1,3,99,2,0,2,3,2,2,2
1868,5,2,4,2,6,2,5,2,3,2,5,2,6,2,5,2,3,2,0,2,1,2,3,2,0,2,4,2,3,2,5,1,5,1,0,2,3,2,2,2,0,2,4,2,2,2,3,2,1,2,2,1,3,1,1,2,2,2,2,1,0,2,1,1,3,2,0,2,3,2,3,2,2,2,1,2,3,3,0,2,1,2,0,2,3,2,4,2,3,2,3,2,0,2,0,2,0,2,1,2,0,2,4,2,4,2,4,2,4,1,2,1,4,2,1,1,4,2,1,2,1,2,1,2,1,2,0,2,1,2,1,2,1,1,0,2,0,2,3,2,5,2,1,1,4,2,3,2,3,2,7,2,5,2,3,1,1,1,1,1,1,1,1,1,1,2,3,1,3,2,6,2,1,1,6,2,3,1,2,1,5,1
1870,7,1,3,1,7,2,1,2,3,2,5,2,5,2,5,2,1,2,0,2,2,2,3,2,0,2,1,2,6,2,5,2,2,2,0,2,1,2,4,2,0,2,5,2,2,2,6,2,0,2,1,2,5,2,2,2,2,1,1,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,1,2,3,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,0,2,0,2,2,1,0,2,4,1,4,2,6,2,6,2,6,1,6,1,5,1,6,2,4,1,5,2,2,2,1,2,1,1,1,1,1,1,3,1,4,2,0,2,2,2,5,2,1,1,1,2,2,2,4,2,6,2,5,2,5,2,2,2,3,2,3,2,6,2,5,2,4,1,6,2,5,2,4,2,3,2,3,2,2,2,2,2
1871,5,2,3,2,3,2,3,2,3,1,3,1,3,1,3,1,1,1,0,2,1,1,1,1,1,1,2,1,3,1,3,1,3,1,3,1,3,1,1,1,0,2,3,1,99,2,3,1,3,1,1,1,3,1,5,1,0,2,5,1,4,1,0,2,3,1,2,1,1,1,1,1,99,2,2,1,6,1,6,1,3,1,2,1,0,2,1,1,1,1,0,2,2,1,0,2,0,2,1,1,2,1,2,1,6,1,7,3,7,1,7,1,7,1,99,1,7,1,7,1,7,1,7,1,4,1,6,1,3,1,7,1,5,1,5,1,0,2,0,2,3,1,3,1,99,2,3,1,9,1,0,2,0,2,0,2,0,2,2,1,2,1,3,1,7,1,6,1,7,1,3,1,3,1,1,1,1,1,5,1,3,1
1875,6,2,8,3,8,3,4,3,2,3,6,2,6,2,5,3,1,2,0,2,4,2,4,3,1,2,6,3,6,3,4,2,1,1,1,1,0,2,8,2,0,2,4,3,1,2,5,3,0,2,0,2,4,3,4,3,2,3,4,3,3,2,0,2,1,2,1,3,8,2,2,3,2,3,0,2,1,3,1,3,1,3,0,2,1,1,1,3,1,3,1,3,2,3,0,2,0,2,0,2,1,3,7,3,1,2,3,2,3,3,3,2,3,2,4,3,3,3,1,3,5,3,4,3,1,3,3,3,3,3,3,3,5,2,2,1,99,2,3,3,3,3,2,3,4,2,3,3,3,3,1,1,4,3,7,2,1,2,0,2,7,2,0,2,5,1,1,1,0,2,4,3,0,2,0,2,2,3,8,2,4,3
1876,6,2,3,2,8,2,2,2,3,2,3,2,3,1,2,1,2,2,0,2,5,2,1,2,3,2,2,2,6,3,3,2,1,1,3,1,3,2,3,2,3,1,6,2,5,2,4,2,5,2,1,1,6,2,0,2,5,2,4,2,1,2,2,1,7,2,7,2,3,1,4,2,4,2,5,2,4,3,1,2,2,2,0,2,4,3,3,2,3,2,3,2,2,2,0,2,1,1,3,2,3,2,4,2,5,1,5,3,5,2,6,2,4,2,4,2,6,2,6,2,5,2,6,2,2,1,3,2,4,2,1,1,7,1,4,1,1,1,5,1,5,2,3,1,5,2,3,2,3,1,6,2,6,2,6,2,6,2,1,1,5,2,4,2,5,2,5,2,6,2,5,2,5,2,3,1,6,2,5,1,6,1
1879,4,2,0,2,4,2,0,2,0,2,0,2,1,2,3,2,0,2,5,2,5,3,1,3,0,2,6,2,7,2,8,3,1,1,0,2,1,2,7,2,0,2,3,2,1,3,1,2,0,2,0,2,8,2,0,2,0,2,1,2,0,2,0,2,1,1,1,1,3,2,0,2,0,2,0,2,0,2,3,2,2,2,0,2,1,1,0,2,4,3,0,2,0,2,0,2,0,2,0,2,0,2,8,3,3,1,3,3,1,1,7,1,7,2,0,2,6,3,2,1,0,2,0,2,0,2,7,3,6,3,6,2,7,1,0,2,7,3,1,1,3,2,0,2,0,2,1,2,5,2,5,3,7,1,7,1,0,2,0,2,6,2,0,2,7,3,5,2,0,2,2,3,0,2,0,2,2,2,3,2,4,2
1884,6,2,5,2,8,2,2,2,1,1,2,2,8,1,4,1,0,2,0,2,0,2,0,2,3,1,4,2,6,2,6,2,3,2,4,2,4,2,5,2,2,2,5,2,2,2,3,2,0,2,1,2,3,2,1,2,8,2,8,2,2,1,5,1,5,1,0,2,2,1,3,2,2,3,0,2,3,3,2,2,2,2,4,2,3,3,0,2,5,2,1,1,1,1,0,2,4,1,3,1,2,3,5,2,1,1,5,2,5,3,5,2,99,3,4,2,5,2,4,2,4,2,5,2,3,1,2,2,2,2,1,1,1,1,0,2,99,2,2,1,5,2,2,2,4,3,5,3,2,2,8,2,4,2,5,2,6,2,0,2,4,2,4,2,6,3,5,2,5,3,5,2,4,1,99,2,2,2,4,2,3,2
1885,0,2,0,2,0,2,0,2,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,3,1,1,1,1,1,0,2,0,2,0,2,99,2,2,1,2,1,4,1,0,2,0,2,4,1,1,1,1,1,3,1,0,2,1,1,3,1,1,1,1,1,1,1,1,1,0,2,3,1,3,1,0,2,0,2,3,1,99,2,1,1,1,1,1,1,1,1,0,2,1,1,0,2,3,1,0,2,3,2,3,1,4,1,3,1,1,1,1,1,1,1,2,1,2,1,1,1,0,2,0,2,0,2,0,2,3,1,99,2,1,1,3,1,3,1,3,1,0,2,5,1,1,1,6,1,7,1,3,1,1,1,2,1,6,1,3,1,6,1,6,1,0,2,0,2,0,2,0,2,0,2,3,1
1886,5,1,0,2,5,1,1,2,3,1,8,1,0,2,7,1,0,2,0,2,0,2,0,2,0,2,0,2,4,1,4,1,0,2,0,2,4,1,0,2,0,2,0,2,0,2,2,1,0,2,0,2,1,1,4,1,0,2,4,1,0,2,1,1,1,1,0,2,1,2,1,1,1,1,0,2,2,1,2,1,2,1,0,2,2,1,0,2,2,1,1,1,1,1,0,2,0,2,4,2,0,2,1,1,0,2,4,1,4,1,2,1,0,2,0,2,0,2,0,2,5,1,1,1,1,1,0,2,1,1,1,1,4,1,5,1,0,2,1,1,5,1,0,2,1,1,1,1,1,1,2,1,1,1,7,1,1,1,0,2,1,2,0,2,1,2,3,1,2,1,1,1,0,2,1,1,3,1,6,1,8,1
1891,5,2,6,2,5,2,1,1,1,1,1,1,3,1,1,1,0,2,0,2,1,1,2,1,3,1,1,1,5,1,2,1,2,1,0,2,3,1,3,1,1,1,3,1,3,1,1,1,0,2,3,1,3,1,3,1,1,1,0,2,3,1,1,1,1,1,0,2,5,1,3,1,3,1,1,1,1,1,0,2,1,1,0,2,3,1,0,2,3,1,1,1,4,2,0,2,0,2,1,1,5,1,3,2,6,1,5,2,5,2,4,1,5,1,4,1,4,1,1,1,0,2,4,1,2,1,1,1,1,1,1,1,4,1,3,1,0,2,5,1,3,1,5,1,4,1,3,1,2,1,4,1,6,1,0,2,3,1,2,1,6,1,3,1,6,1,1,1,5,1,0,2,0,2,0,2,3,1,1,1,2,1
1892,7,2,2,1,7,1,1,1,3,1,3,1,3,1,3,1,0,2,0,2,0,2,0,2,2,2,1,1,0,2,5,2,0,2,2,1,1,2,4,1,0,2,3,2,0,2,0,2,0,2,0,2,2,1,0,2,0,2,3,2,3,1,0,2,1,1,1,1,1,1,1,2,0,2,3,2,2,2,3,2,3,2,0,2,3,2,0,2,0,2,0,2,2,1,0,2,0,2,0,2,2,1,4,1,0,2,3,2,3,1,3,1,3,1,2,1,5,1,3,1,2,1,1,1,0,2,1,1,1,1,2,1,2,1,1,1,99,2,0,2,3,1,2,1,1,1,1,1,2,1,5,1,5,1,5,1,3,1,0,2,1,1,2,1,2,1,2,1,2,1,2,1,0,2,1,1,2,1,2,1,0,2
1900,8,2,99,2,8,2,2,2,1,1,8,2,8,1,3,1,0,2,0,2,1,1,1,1,0,2,0,2,5,1,0,2,2,1,1,1,1,1,3,1,3,1,3,1,0,2,5,1,0,2,5,1,2,1,4,1,0,2,0,2,0,2,1,1,1,1,0,2,4,1,2,1,1,1,0,2,2,1,0,2,1,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,1,1,1,1,1,0,2,1,2,1,1,3,1,99,2,0,2,0,2,1,1,3,1,3,1,4,1,1,2,0,2,0,2,0,2,0,2,99,2,5,2,5,2,1,2,3,1,0,2,0,2,3,1,2,2,4,2,1,2,0,2,1,1,1,2,3,2,3,2,1,1,1,2,0,2,0,2,3,2,3,2,3,2
1908,5,1,5,1,6,2,2,1,3,2,9,2,9,3,1,1,0,2,0,2,0,2,5,3,0,2,6,2,1,1,4,3,3,1,0,2,2,1,3,1,0,2,4,2,3,1,4,2,0,2,0,2,6,2,0,2,0,2,2,2,0,2,2,1,5,1,0,2,5,2,2,1,3,2,0,2,3,2,0,2,1,2,0,2,3,2,0,2,1,2,2,2,0,2,0,2,2,1,5,2,0,2,3,1,0,2,7,2,7,3,6,2,7,2,5,1,1,1,5,2,6,1,6,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,5,2,6,2,0,2,5,2,4,2,4,2,9,3,5,2,7,1,5,1,0,2,2,1,4,1,5,1,5,1,6,1,1,1,3,1,2,1,1,1,1,1,3,2
1913,4,1,4,1,5,1,4,1,4,1,4,1,7,2,4,1,5,1,0,2,1,1,1,1,2,1,2,1,7,2,5,1,5,1,5,1,5,1,6,1,5,1,9,1,4,1,4,1,5,1,4,1,4,1,2,1,0,2,0,2,0,2,1,1,6,1,0,2,6,1,4,1,0,2,4,1,4,1,0,2,0,2,0,2,4,1,0,2,4,1,0,2,0,2,0,2,0,2,4,1,0,2,5,1,6,1,7,1,7,1,7,1,4,1,0,2,6,1,6,1,6,1,4,1,4,1,0,2,4,1,0,2,0,2,0,2,0,2,4,1,5,1,0,2,5,1,4,1,4,1,7,1,0,2,0,2,0,2,5,1,4,1,0,2,4,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
